,Date,ArticleNumber,LinkText,Tag,Link,Clicks,Month,Day,Year,Week,Weekday
141,2020-07-30,1,LanzaTech,12,https://www.lanzatech.com,6.0,7,30,2020,31,3
142,2020-07-30,1,their Q2 earnings,13,https://www.businesswire.com/news/home/20200729005934/en/TechnipFMC-Announces-Quarter-2020-Results,2.0,7,30,2020,31,3
143,2020-07-30,1,here,14,https://www.biofuelsdigest.com/bdigest/2020/07/21/lanzatech-licenses-technipfmc-hummingbird-technology-for-atj/,3.0,7,30,2020,31,3
144,2020-07-30,2,Dr. Bernd Gross,15,https://commons.wikimedia.org/wiki/File:Air_Liquide_Adlershof.JPG,1.0,7,30,2020,31,3
145,2020-07-30,2,Air Liquide,17,https://en.wikipedia.org/wiki/Air_Liquide,2.0,7,30,2020,31,3
146,2020-07-30,2,here,18,https://www.moneyweb.co.za/news/companies-and-deals/sasols-debt-reduction-programme-on-track/,4.0,7,30,2020,31,3
147,2020-07-31,0,Thomas R Machnitzki (thomasmachnitzki.com),3,https://commons.wikimedia.org/wiki/File:Shelby_Farms_Solar_Farm_Memphis_TN_2013-02-02_010.jpg,3.0,7,31,2020,31,4
148,2020-07-31,0,CC BY,4,https://creativecommons.org/licenses/by/3.0,4.0,7,31,2020,31,4
149,2020-07-31,0,SABIC,5,https://en.wikipedia.org/wiki/SABIC,3.0,7,31,2020,31,4
150,2020-07-31,0,mentioned earlier this week,6,https://thecolumn.co/daily/07272020,5.0,7,31,2020,31,4
151,2020-07-31,0,mentioned earlier this week,13,https://thecolumn.co/daily/07272020,6.0,7,31,2020,31,4
152,2020-07-31,1,like it was mentioned earlier this week,6,https://thecolumn.co/daily/07272020,5.0,7,31,2020,31,4
153,2020-07-31,1,like it was mentioned earlier this week,13,https://thecolumn.co/daily/07272020,6.0,7,31,2020,31,4
154,2020-07-31,0,Iberdrola,7,https://en.wikipedia.org/wiki/Iberdrola,3.0,7,31,2020,31,4
155,2020-07-31,0,here,8,https://www.nacleanenergy.com/articles/38539/sabic-chemical-plant-to-become-world-s-first-of-its-kind-to-operate-on-100-renewable-power,8.0,7,31,2020,31,4
